PRODUCT_ID,PRODUCT_METADATA
5032,Oral Care
5070,Confections
3364,Supplements
6080,"Rice, Beans + Grains"
4840,Condiments
6177,Hemp
6024,Cleaning 
5984,Cleaning 
2366,Hemp
5098,Nut + Seed Butter
5917,Bath + Body Care
5954,Bath + Body Care
5951,Oral Care
5992,Cleaning 
6016,Cleaning 
5309,Prepared Foods
177,Gut Health
1138,"Sauces, Salsas + Dips"
5971,Bath + Body Care
5983,Kitchenware
2587,Jerky
6181,Hemp
3167,Waters
5960,Personal Care
6000,Cleaning 
6051,Spice + Seasoning
4926,Plant Based Protein
6059,Spice + Seasoning
5502,Condiments
5582,Coffee
813,Cookies
6302,Soup + Broth
5435,Nut + Seed Butter
5594,Hemp
5598,"Sauces, Salsas + Dips"
4305,Oatmeal + cereals
5482,Hemp Edibles
6135,Supplements
2786,Oatmeal + cereals
6313,Baking
4258,Snack Bars
4856,Condiments
607,Popped + Puffed
4260,RTD Tea
3885,Bread
5362,Hemp Ingestibles
6064,Spice + Seasoning
4710,Oil + Vinegar
2800,RTD Coffee
529,Fresh Bread
3899,Coffee
4652,Personal Care
6041,Nuts + Fruits
6053,Spice + Seasoning
5305,Snack Bites
3026,Oral Care
3934,Tea
2782,Chips + Crisps
3199,Fruit Spreads + Preserves
5588,Hemp Ingestibles
5442,Confections
329,Jerky
2710,Functional Foods
4682,Condiments
4978,Cookies
4354,Zero-Proof NA
4721,Personal Care
5377,Hemp Topicals + Tinctures
6375,Personal Care
4916,Condiments
3375,Supplements
6231,Waters
1119,Food Service
3669,Desserts
3987,"Sauces, Salsas + Dips"
5993,Cleaning 
6161,Kitchenware
6163,Kitchenware
6027,Cleaning 
6047,Coffee
6065,Spice + Seasoning
5359,Hemp Topicals + Tinctures
6075,Sweeteners + Syrup
6099,Chips + Crisps
1085,Condiments
4240,Baked Goods
5306,"Sauces, Salsas + Dips"
4642,Shelf Stable Non-Dairy Milk
5100,Nuts + Fruits
5434,Confections
4887,Hemp Ingestibles
3686,Baked Goods
5599,"Olives, Pickles + Relish"
6316,Salsa + Dips
4580,Plant Based
6025,Cleaning 
6094,Chips + Crisps
4233,RTD Coffee
6112,Mixers
5575,Mixers
5437,Nut + Seed Butter
6190,Hemp Topicals + Tinctures
5439,Functional
4308,Oral Care
3921,Condiments
5467,Nuts + Fruits
5328,Crackers
5465,Nuts + Fruits
4956,Chips + Crisps
3047,Hemp
5333,Functional
4957,Pets
6569,Appetizers + Snacks
4967,Mixers
6337,Coffee
6572,Food + Drink
3520,"Sauces, Salsas + Dips"
5345,Nuts + Fruits
4265,Snack Bars
5130,"Olives, Pickles + Relish"
2325,"Pasta, Noodles + Sauces"
576,Soup + Broth
3035,Hemp
916,Baking
4603,Oil + Vinegar
6102,Popped + Puffed
2923,Oatmeal + cereals
4731,Plant Based
4751,Supplements
4734,Supplements
5397,"Pasta, Noodles + Sauces"
5035,Oral Care
5538,Waters
5558,Honey
4915,Condiments
5605,Confections
6557,Bath + Body Care
4287,"Sauces, Salsas + Dips"
4793,Personal Care
5227,"Olives, Pickles + Relish"
273,Fresh Bread
3765,Cookies
6622,Supplements
5591,Hemp Ingestibles
6106,Chips + Crisps
4583,Skin Care
3726,Snack Bars
6069,Oil + Vinegar
5509,Sweeteners + Syrup
5510,Crackers
3173,"Olives, Pickles + Relish"
3976,Snack Bites
6606,Supplements
5999,Cleaning 
5560,Functional
2158,Hemp
6117,Baking
6200,Spice + Seasoning
4571,Crackers
5103,Hemp
5329,Oatmeal + cereals
4314,Hemp Ingestibles
6562,Mixers
4983,Cleaning 
4989,Snack Bites
5168,Chips + Crisps
5069,Confections
3108,Tea
6029,Cleaning 
3022,Bath + Body Care
6186,Pets
4273,Snack Bites
4752,Oral Care
4332,Sweeteners + Syrup
4986,Hemp Ingestibles
6360,Hemp Topicals + Tinctures
208,Condiments
2957,Kitchenware
5388,Hemp Topicals + Tinctures
4797,Kitchenware
5226,Spice + Seasoning
3032,Oral Care
6631,Chocolate
6217,Personal Care
6644,Hemp
3973,Nuts + Fruits
6681,Bath + Body Care
3392,Sweeteners + Syrup
6484,Hemp Ingestibles
3449,Nut + Seed Butter
697,Soup + Broth
926,"Sauces, Salsas + Dips"
3157,Zero-Proof NA
2688,Sparkling
1003,Tea
3673,Oil + Vinegar
3175,"Sauces, Salsas + Dips"
2024,Coffee
3526,Hemp Ingestibles
6223,Spice + Seasoning
1930,Cookies
5253,Snack Bars
1260,Tea
2471,Dairy + Plant Based Alternatives
1979,Sweeteners + Syrup
1918,Jerky
1908,Nuts + Fruits
2663,Chips + Crisps
