product,week_start,sales
3571,2022-01-03,21
3574,2022-01-03,18
3575,2022-01-03,0
3576,2022-01-03,0
3579,2022-01-03,0
3580,2022-01-03,0
3582,2022-01-03,12
3584,2022-01-03,0
3585,2022-01-03,0
3595,2022-01-03,0
3597,2022-01-03,0
3598,2022-01-03,0
3605,2022-01-03,0
3607,2022-01-03,0
3612,2022-01-03,0
3615,2022-01-03,0
3617,2022-01-03,0
3624,2022-01-03,0
3626,2022-01-03,0
3639,2022-01-03,0
3659,2022-01-03,0
3660,2022-01-03,0
3668,2022-01-03,12
3671,2022-01-03,0
3672,2022-01-03,5
3674,2022-01-03,0
3676,2022-01-03,0
3686,2022-01-03,4
3689,2022-01-03,0
3690,2022-01-03,0
3691,2022-01-03,0
3701,2022-01-03,37
3702,2022-01-03,5
3703,2022-01-03,0
3708,2022-01-03,4
3714,2022-01-03,0
3715,2022-01-03,0
3717,2022-01-03,0
3718,2022-01-03,0
3719,2022-01-03,0
3720,2022-01-03,4
3726,2022-01-03,0
3737,2022-01-03,0
3738,2022-01-03,0
3740,2022-01-03,0
3748,2022-01-03,0
3760,2022-01-03,0
3762,2022-01-03,0
3763,2022-01-03,0
3764,2022-01-03,0
3765,2022-01-03,0
3767,2022-01-03,7
3776,2022-01-03,0
3785,2022-01-03,8
3793,2022-01-03,0
3794,2022-01-03,2
3796,2022-01-03,0
3797,2022-01-03,5
3798,2022-01-03,1
3799,2022-01-03,0
3800,2022-01-03,0
3801,2022-01-03,0
3802,2022-01-03,0
3803,2022-01-03,0
3804,2022-01-03,0
3808,2022-01-03,0
3810,2022-01-03,0
3814,2022-01-03,0
3819,2022-01-03,4
3820,2022-01-03,2
3824,2022-01-03,1
3825,2022-01-03,9
3826,2022-01-03,0
3829,2022-01-03,5
3831,2022-01-03,0
3834,2022-01-03,0
3835,2022-01-03,1
3836,2022-01-03,0
3837,2022-01-03,0
3838,2022-01-03,13
3840,2022-01-03,0
3844,2022-01-03,0
3849,2022-01-03,0
3853,2022-01-03,0
3857,2022-01-03,0
3863,2022-01-03,0
3864,2022-01-03,0
3866,2022-01-03,4
3875,2022-01-03,0
3876,2022-01-03,0
3880,2022-01-03,0
3883,2022-01-03,0
3884,2022-01-03,0
3885,2022-01-03,10
3888,2022-01-03,0
3890,2022-01-03,0
3891,2022-01-03,0
3895,2022-01-03,2
3901,2022-01-03,0
3902,2022-01-03,1
3903,2022-01-03,0
3904,2022-01-03,0
3906,2022-01-03,0
3907,2022-01-03,2
3918,2022-01-03,2
3922,2022-01-03,5
3924,2022-01-03,16
3925,2022-01-03,4
3926,2022-01-03,0
3927,2022-01-03,5
3929,2022-01-03,15
3930,2022-01-03,7
3931,2022-01-03,0
3932,2022-01-03,0
3933,2022-01-03,0
3946,2022-01-03,0
3953,2022-01-03,2
3954,2022-01-03,0
3956,2022-01-03,11
3958,2022-01-03,0
3960,2022-01-03,0
3961,2022-01-03,0
3962,2022-01-03,0
3964,2022-01-03,0
3966,2022-01-03,4
3967,2022-01-03,9
3968,2022-01-03,40
3969,2022-01-03,2
3970,2022-01-03,6
3971,2022-01-03,0
3972,2022-01-03,4
3973,2022-01-03,29
3979,2022-01-03,0
3987,2022-01-03,0
3988,2022-01-03,6
3989,2022-01-03,0
3995,2022-01-03,0
4017,2022-01-03,0
4029,2022-01-03,0
4035,2022-01-03,0
4048,2022-01-03,2
4053,2022-01-03,3
4057,2022-01-03,0
4058,2022-01-03,1
4059,2022-01-03,0
4074,2022-01-03,0
4087,2022-01-03,3
4091,2022-01-03,0
4096,2022-01-03,0
4097,2022-01-03,2
4101,2022-01-03,0
4110,2022-01-03,0
4111,2022-01-03,0
4117,2022-01-03,2
4118,2022-01-03,3
4119,2022-01-03,1
4124,2022-01-03,1
4131,2022-01-03,0
4136,2022-01-03,0
4139,2022-01-03,0
4149,2022-01-03,0
4151,2022-01-03,0
4152,2022-01-03,5
4154,2022-01-03,0
4155,2022-01-03,0
4156,2022-01-03,0
4157,2022-01-03,0
4161,2022-01-03,2
4162,2022-01-03,0
4163,2022-01-03,0
4164,2022-01-03,0
4165,2022-01-03,0
4168,2022-01-03,0
4169,2022-01-03,0
4173,2022-01-03,0
4180,2022-01-03,0
4186,2022-01-03,0
4188,2022-01-03,1
4189,2022-01-03,0
4198,2022-01-03,3
4199,2022-01-03,9
4201,2022-01-03,3
4202,2022-01-03,0
4207,2022-01-03,0
4208,2022-01-03,2
4211,2022-01-03,0
4212,2022-01-03,0
4215,2022-01-03,2
4218,2022-01-03,1
4219,2022-01-03,0
4221,2022-01-03,3
4222,2022-01-03,1
4224,2022-01-03,6
4231,2022-01-03,0
4233,2022-01-03,3
4235,2022-01-03,0
4236,2022-01-03,0
4238,2022-01-03,6
4244,2022-01-03,0
4247,2022-01-03,1
4248,2022-01-03,4
4249,2022-01-03,2
4250,2022-01-03,1
4251,2022-01-03,1
4257,2022-01-03,5
4258,2022-01-03,1
4261,2022-01-03,32
4262,2022-01-03,19
4264,2022-01-03,0
4266,2022-01-03,0
4269,2022-01-03,0
4270,2022-01-03,0
4273,2022-01-03,0
4274,2022-01-03,0
4275,2022-01-03,3
4276,2022-01-03,9
4278,2022-01-03,5
4279,2022-01-03,0
4287,2022-01-03,0
4293,2022-01-03,0
4296,2022-01-03,0
4305,2022-01-03,0
4316,2022-01-03,0
4327,2022-01-03,0
4329,2022-01-03,0
4334,2022-01-03,0
4336,2022-01-03,1
4343,2022-01-03,2
4344,2022-01-03,0
4352,2022-01-03,2
4353,2022-01-03,2
4354,2022-01-03,0
4362,2022-01-03,0
4373,2022-01-03,0
4374,2022-01-03,0
4376,2022-01-03,0
4377,2022-01-03,0
4378,2022-01-03,0
4379,2022-01-03,0
4380,2022-01-03,0
4381,2022-01-03,0
4382,2022-01-03,0
4384,2022-01-03,1
4385,2022-01-03,0
4387,2022-01-03,0
4395,2022-01-03,0
4400,2022-01-03,0
4402,2022-01-03,4
4403,2022-01-03,0
4405,2022-01-03,2
4408,2022-01-03,4
4422,2022-01-03,0
4424,2022-01-03,0
4426,2022-01-03,0
4430,2022-01-03,2
4431,2022-01-03,0
4439,2022-01-03,5
4442,2022-01-03,2
4443,2022-01-03,0
4447,2022-01-03,0
4450,2022-01-03,0
4451,2022-01-03,3
4454,2022-01-03,2
4466,2022-01-03,61
4477,2022-01-03,3
4480,2022-01-03,0
4484,2022-01-03,9
4494,2022-01-03,0
4496,2022-01-03,0
4498,2022-01-03,69
4499,2022-01-03,0
4500,2022-01-03,0
4501,2022-01-03,0
4502,2022-01-03,0
4503,2022-01-03,4
4505,2022-01-03,0
4507,2022-01-03,0
4511,2022-01-03,20
4516,2022-01-03,8
4521,2022-01-03,2
4526,2022-01-03,0
4527,2022-01-03,0
4528,2022-01-03,0
4529,2022-01-03,0
4530,2022-01-03,0
4531,2022-01-03,0
4532,2022-01-03,2
4537,2022-01-03,0
4538,2022-01-03,0
4539,2022-01-03,8
4543,2022-01-03,0
4547,2022-01-03,0
4553,2022-01-03,0
4560,2022-01-03,3
4562,2022-01-03,0
4564,2022-01-03,0
4566,2022-01-03,0
4567,2022-01-03,0
4568,2022-01-03,0
4569,2022-01-03,0
4573,2022-01-03,0
4580,2022-01-03,0
4587,2022-01-03,0
4592,2022-01-03,0
4596,2022-01-03,0
4600,2022-01-03,0
4610,2022-01-03,0
4611,2022-01-03,0
4614,2022-01-03,0
4615,2022-01-03,0
4629,2022-01-03,5
4630,2022-01-03,7
4633,2022-01-03,7
4634,2022-01-03,0
4637,2022-01-03,0
4642,2022-01-03,0
4650,2022-01-03,0
