product,week_start,sales,last-1_week_sales,last-1_week_diff,last-2_week_sales,last-2_week_diff
2916,2022-03-14,0,0.0,-1.0,1.0,1.0
2917,2022-03-14,0,0.0,0.0,0.0,0.0
2923,2022-03-14,0,0.0,0.0,0.0,0.0
2970,2022-03-14,0,0.0,-1.0,1.0,-5.0
2975,2022-03-14,0,0.0,0.0,0.0,0.0
2978,2022-03-14,14,6.0,-4.0,10.0,0.0
2995,2022-03-14,0,0.0,0.0,0.0,0.0
2999,2022-03-14,2,20.0,18.0,2.0,1.0
3005,2022-03-14,3,0.0,0.0,0.0,0.0
3013,2022-03-14,32,32.0,18.0,14.0,-43.0
3034,2022-03-14,0,0.0,-8.0,8.0,-3.0
3035,2022-03-14,19,0.0,-8.0,8.0,8.0
3037,2022-03-14,5,9.0,3.0,6.0,2.0
3042,2022-03-14,9,0.0,0.0,0.0,-23.0
3044,2022-03-14,51,35.0,-3.0,38.0,-5.0
3046,2022-03-14,23,20.0,-6.0,26.0,-3.0
3047,2022-03-14,3,1.0,-1.0,2.0,-4.0
3054,2022-03-14,0,1.0,1.0,0.0,0.0
3055,2022-03-14,0,0.0,0.0,0.0,0.0
3056,2022-03-14,0,1.0,1.0,0.0,0.0
3057,2022-03-14,0,2.0,2.0,0.0,0.0
3058,2022-03-14,0,4.0,4.0,0.0,0.0
3059,2022-03-14,1,2.0,2.0,0.0,0.0
3060,2022-03-14,0,0.0,0.0,0.0,0.0
3061,2022-03-14,0,0.0,0.0,0.0,0.0
3062,2022-03-14,0,5.0,5.0,0.0,0.0
3064,2022-03-14,0,1.0,1.0,0.0,-4.0
3065,2022-03-14,0,0.0,0.0,0.0,0.0
3068,2022-03-14,0,3.0,3.0,0.0,0.0
3069,2022-03-14,0,0.0,0.0,0.0,0.0
3070,2022-03-14,0,0.0,0.0,0.0,0.0
3076,2022-03-14,8,0.0,-2.0,2.0,2.0
3080,2022-03-14,4,0.0,0.0,0.0,0.0
3083,2022-03-14,15,0.0,-3.0,3.0,3.0
3094,2022-03-14,27,8.0,-9.0,17.0,-4.0
3098,2022-03-14,7,6.0,2.0,4.0,-3.0
3105,2022-03-14,2,0.0,0.0,0.0,-4.0
3111,2022-03-14,0,0.0,0.0,0.0,-3.0
3112,2022-03-14,1,0.0,0.0,0.0,0.0
3114,2022-03-14,4,0.0,0.0,0.0,0.0
3116,2022-03-14,0,38.0,36.0,2.0,0.0
3117,2022-03-14,0,0.0,-3.0,3.0,3.0
3119,2022-03-14,270,300.0,30.0,270.0,260.0
3122,2022-03-14,0,0.0,-2.0,2.0,0.0
3124,2022-03-14,0,0.0,0.0,0.0,0.0
3141,2022-03-14,0,0.0,-4.0,4.0,4.0
3142,2022-03-14,0,0.0,-2.0,2.0,2.0
3147,2022-03-14,2,2.0,-4.0,6.0,6.0
3149,2022-03-14,2,0.0,0.0,0.0,0.0
3152,2022-03-14,0,0.0,0.0,0.0,-1.0
3153,2022-03-14,6,48.0,-68.0,116.0,113.0
3155,2022-03-14,663,539.0,84.0,455.0,73.0
3156,2022-03-14,18,16.0,14.0,2.0,-37.0
3157,2022-03-14,21,10.0,-23.0,33.0,22.0
3159,2022-03-14,0,0.0,0.0,0.0,0.0
3160,2022-03-14,5,1.0,-2.0,3.0,0.0
3162,2022-03-14,0,1.0,0.0,1.0,-1.0
3166,2022-03-14,0,0.0,0.0,0.0,0.0
3167,2022-03-14,0,0.0,-2.0,2.0,2.0
3168,2022-03-14,4,4.0,3.0,1.0,-1.0
3169,2022-03-14,2,3.0,1.0,2.0,2.0
3170,2022-03-14,44,22.0,3.0,19.0,-19.0
3172,2022-03-14,0,0.0,0.0,0.0,0.0
3173,2022-03-14,0,0.0,0.0,0.0,0.0
3174,2022-03-14,6,0.0,-4.0,4.0,-14.0
3175,2022-03-14,0,0.0,0.0,0.0,0.0
3189,2022-03-14,4,3.0,2.0,1.0,1.0
3194,2022-03-14,1,0.0,-2.0,2.0,2.0
3197,2022-03-14,0,0.0,-1.0,1.0,1.0
3200,2022-03-14,1,0.0,-5.0,5.0,5.0
